concept,dimension,support_en,support_zh,support_ar,top_en,top_zh,top_ar,js_zh_en,js_ar_en,js_zh_ar,mean_js
figures in historical clothing,objects_subjects,15,17,12,contentment=0.385,contentment=0.674,amusement=0.333,0.069710,0.115065,0.157194,0.113990
white background,scenes_settings,34,35,33,amusement=0.299,contentment=0.291,awe=0.440,0.107752,0.150393,0.083757,0.113968
seascape,scenes_settings,623,631,561,contentment=0.563,contentment=0.666,amusement=0.349,0.020059,0.127230,0.194532,0.113941
dragonfly,objects_subjects,36,30,32,contentment=0.531,contentment=0.623,contentment=0.589,0.119634,0.101044,0.121035,0.113904
trellis,objects_subjects,40,48,41,contentment=0.438,contentment=0.638,amusement=0.363,0.081045,0.106352,0.154241,0.113879
bedroom,scenes_settings,81,83,78,sadness=0.298,contentment=0.589,contentment=0.333,0.152394,0.075098,0.114132,0.113874
shutters,objects_subjects,49,52,50,contentment=0.626,contentment=0.735,contentment=0.284,0.040597,0.122979,0.178011,0.113862
samurai armor,objects_subjects,23,21,23,fear=0.273,fear=0.373,awe=0.273,0.067452,0.098420,0.175680,0.113851
geometric abstraction,compositional_style,293,306,279,something else=0.257,contentment=0.411,awe=0.340,0.141441,0.054276,0.145830,0.113849
arrows,objects_subjects,73,79,72,awe=0.265,fear=0.401,awe=0.242,0.167903,0.020457,0.153180,0.113847
fields,objects_subjects,161,123,110,contentment=0.595,contentment=0.624,amusement=0.319,0.029529,0.119555,0.192399,0.113828
medieval settlement,scenes_settings,10,11,10,awe=0.241,contentment=0.613,contentment=0.517,0.190996,0.120976,0.029493,0.113822
outdoor courtly gathering,scenes_settings,12,12,12,awe=0.455,disgust=0.273,awe=0.273,0.158406,0.079544,0.103503,0.113818
tomb site,scenes_settings,11,10,10,awe=0.548,contentment=0.448,awe=0.310,0.160469,0.138401,0.042582,0.113817
white socks,objects_subjects,12,15,13,amusement=0.455,contentment=0.641,amusement=0.429,0.179040,0.013829,0.148408,0.113759
minimalist,compositional_style,163,172,165,something else=0.278,contentment=0.456,awe=0.298,0.129783,0.084785,0.126678,0.113749
cherry blossoms,symbolic_cultural_motifs,11,12,11,awe=0.419,contentment=0.515,amusement=0.226,0.135326,0.064472,0.141397,0.113732
by a window,scenes_settings,47,52,47,contentment=0.243,contentment=0.558,awe=0.223,0.092132,0.074603,0.174440,0.113725
thick black outlines,compositional_style,31,31,26,contentment=0.437,contentment=0.465,amusement=0.311,0.073303,0.076835,0.190966,0.113701
paper surface,scenes_settings,15,15,15,something else=0.333,fear=0.333,something else=0.333,0.158020,0.057216,0.125862,0.113699
black shoes,objects_subjects,20,18,19,contentment=0.429,contentment=0.689,amusement=0.447,0.097004,0.046455,0.197558,0.113672
blanket,objects_subjects,47,45,44,contentment=0.476,contentment=0.616,amusement=0.320,0.067084,0.134837,0.139042,0.113654
plein air style,compositional_style,15,18,15,contentment=0.590,contentment=0.511,amusement=0.385,0.055385,0.123577,0.161953,0.113638
dark charcoal,colors_color_schemes,15,16,15,contentment=0.231,contentment=0.463,amusement=0.333,0.117199,0.034711,0.189003,0.113637
outdoor garden,scenes_settings,160,169,157,contentment=0.459,contentment=0.695,amusement=0.443,0.076585,0.074813,0.189490,0.113629
full moon,objects_subjects,94,98,94,contentment=0.431,contentment=0.502,amusement=0.310,0.056563,0.121312,0.163013,0.113629
fireplace mantel,objects_subjects,34,45,39,contentment=0.299,contentment=0.838,contentment=0.471,0.184018,0.044099,0.112733,0.113617
two human figures,objects_subjects,41,46,39,contentment=0.451,contentment=0.604,amusement=0.310,0.018847,0.146201,0.175729,0.113592
beach,scenes_settings,85,84,78,contentment=0.575,contentment=0.582,amusement=0.358,0.018514,0.126736,0.195521,0.113591
crimson,colors_color_schemes,29,31,30,awe=0.373,contentment=0.465,contentment=0.449,0.127633,0.135786,0.077329,0.113583
market stalls,objects_subjects,52,56,52,contentment=0.363,contentment=0.802,contentment=0.292,0.123043,0.039627,0.178045,0.113571
sailboat,objects_subjects,245,258,244,contentment=0.615,contentment=0.726,amusement=0.421,0.031356,0.117740,0.191613,0.113570
cave opening,objects_subjects,24,29,23,contentment=0.228,contentment=0.373,awe=0.455,0.079933,0.074453,0.186295,0.113560
five-pointed star,symbolic_cultural_motifs,10,10,10,amusement=0.310,contentment=0.379,sadness=0.379,0.169923,0.141889,0.028832,0.113548
lotus pedestal,objects_subjects,35,33,35,awe=0.392,contentment=0.360,awe=0.266,0.182752,0.058578,0.099214,0.113515
patterned floor,objects_subjects,20,20,20,contentment=0.306,contentment=0.673,contentment=0.388,0.132527,0.109630,0.098363,0.113507
classical statue,objects_subjects,19,21,16,contentment=0.277,contentment=0.451,amusement=0.415,0.102457,0.111257,0.126679,0.113464
twilight setting,scenes_settings,11,10,10,sadness=0.290,contentment=0.310,sadness=0.310,0.196985,0.059997,0.083354,0.113446
groom,objects_subjects,12,12,11,contentment=0.394,contentment=0.576,amusement=0.290,0.084831,0.078533,0.176939,0.113434
green hills,objects_subjects,25,25,23,contentment=0.492,contentment=0.763,contentment=0.345,0.096649,0.075835,0.167724,0.113403
paintbrushes,objects_subjects,46,46,43,contentment=0.307,contentment=0.644,amusement=0.263,0.094756,0.054442,0.190958,0.113385
plum blossom motif,symbolic_cultural_motifs,12,12,14,awe=0.333,contentment=0.333,contentment=0.297,0.135568,0.047562,0.157016,0.113382
infant,objects_subjects,229,235,214,awe=0.439,contentment=0.766,contentment=0.474,0.193963,0.062429,0.083685,0.113359
scrollwork pattern,symbolic_cultural_motifs,29,26,25,contentment=0.463,contentment=0.607,awe=0.288,0.085040,0.062648,0.192386,0.113358
headscarves,objects_subjects,51,50,50,contentment=0.568,contentment=0.725,contentment=0.339,0.047700,0.147313,0.145024,0.113346
impressionistic style,compositional_style,493,479,442,contentment=0.592,contentment=0.727,amusement=0.384,0.033380,0.116948,0.189697,0.113342
board game,objects_subjects,25,27,25,contentment=0.322,contentment=0.556,contentment=0.424,0.131700,0.078954,0.129274,0.113309
mudra,symbolic_cultural_motifs,26,24,24,awe=0.443,contentment=0.368,contentment=0.298,0.192320,0.067140,0.080232,0.113231
grand hall,scenes_settings,21,20,20,awe=0.647,contentment=0.551,awe=0.429,0.195753,0.062327,0.081596,0.113225
yellow background,colors_color_schemes,42,39,38,contentment=0.290,contentment=0.563,contentment=0.271,0.124305,0.071086,0.144250,0.113214
upright piano,objects_subjects,15,13,13,contentment=0.333,contentment=0.314,amusement=0.600,0.038761,0.121421,0.179454,0.113212
woman in white dress,objects_subjects,35,35,35,contentment=0.392,contentment=0.570,amusement=0.367,0.110503,0.098774,0.130352,0.113210
geometric paneling,symbolic_cultural_motifs,10,11,10,awe=0.517,contentment=0.613,contentment=0.448,0.206836,0.092772,0.039989,0.113199
wooden staff,objects_subjects,40,42,38,sadness=0.371,contentment=0.419,sadness=0.412,0.127203,0.047283,0.165083,0.113190
stone bridge,objects_subjects,195,205,193,contentment=0.484,contentment=0.647,contentment=0.347,0.091858,0.063593,0.184007,0.113152
pebbles,objects_subjects,37,36,35,contentment=0.398,contentment=0.457,amusement=0.367,0.063034,0.101558,0.174849,0.113147
village view,scenes_settings,69,31,27,contentment=0.673,contentment=0.634,amusement=0.270,0.060616,0.111439,0.167343,0.113133
medieval townscape,scenes_settings,15,16,15,awe=0.333,contentment=0.610,contentment=0.436,0.167448,0.050649,0.121207,0.113101
dripping paint,compositional_style,19,21,20,excitement=0.191,fear=0.373,sadness=0.224,0.147949,0.077161,0.114178,0.113096
detailed architectural rendering,compositional_style,237,258,235,awe=0.445,contentment=0.714,awe=0.420,0.107291,0.045365,0.186557,0.113071
small white dog,objects_subjects,14,15,15,contentment=0.351,contentment=0.692,contentment=0.282,0.113542,0.059737,0.165770,0.113016
light brown wash,colors_color_schemes,12,12,16,awe=0.333,contentment=0.455,contentment=0.463,0.168286,0.016929,0.153819,0.113012
arms,objects_subjects,46,46,46,fear=0.287,fear=0.327,sadness=0.287,0.130400,0.092463,0.116133,0.112999
red seal stamps,symbolic_cultural_motifs,477,463,490,contentment=0.433,contentment=0.504,contentment=0.515,0.158255,0.018961,0.161697,0.112971
detailed oil painting,compositional_style,10,10,10,fear=0.310,contentment=0.379,awe=0.241,0.074125,0.112454,0.152263,0.112947
calligraphy signature,symbolic_cultural_motifs,53,56,54,contentment=0.304,contentment=0.488,contentment=0.624,0.167153,0.055566,0.115999,0.112906
haloes,symbolic_cultural_motifs,43,46,45,awe=0.411,contentment=0.545,awe=0.313,0.203370,0.037364,0.097949,0.112894
woman with dark hair,objects_subjects,14,16,12,amusement=0.351,contentment=0.805,contentment=0.394,0.196653,0.023912,0.117973,0.112846
historical european city,scenes_settings,15,17,15,awe=0.436,contentment=0.395,amusement=0.385,0.067670,0.092865,0.177977,0.112837
interior room,objects_subjects,15,15,14,amusement=0.231,contentment=0.590,awe=0.297,0.185160,0.038714,0.114564,0.112813
wall paneling,objects_subjects,10,10,10,sadness=0.379,contentment=0.310,amusement=0.379,0.028792,0.134981,0.174588,0.112787
paintbrush,objects_subjects,30,31,28,amusement=0.275,contentment=0.606,amusement=0.323,0.179375,0.023956,0.135005,0.112779
lotus motif,symbolic_cultural_motifs,282,278,279,contentment=0.316,contentment=0.416,awe=0.432,0.112032,0.045614,0.180671,0.112772
horseman,objects_subjects,20,20,19,awe=0.306,contentment=0.469,excitement=0.277,0.094659,0.081955,0.161695,0.112769
canopy,objects_subjects,156,156,149,awe=0.346,contentment=0.576,contentment=0.309,0.147756,0.028177,0.162260,0.112731
red square seal,symbolic_cultural_motifs,16,12,14,contentment=0.707,contentment=0.273,contentment=0.676,0.136877,0.032560,0.168673,0.112703
silk scroll painting,compositional_style,28,24,26,contentment=0.354,contentment=0.439,contentment=0.508,0.097566,0.115598,0.124851,0.112672
horizontal bands,objects_subjects,15,15,15,something else=0.385,contentment=0.436,something else=0.333,0.128131,0.078220,0.131619,0.112657
peonies,objects_subjects,33,35,41,contentment=0.493,contentment=0.671,amusement=0.429,0.046128,0.109242,0.182582,0.112651
decorative borders,compositional_style,121,127,135,awe=0.331,contentment=0.612,contentment=0.362,0.155901,0.041969,0.140061,0.112644
snow-covered mountains,objects_subjects,15,15,15,fear=0.282,disgust=0.385,contentment=0.282,0.158921,0.035470,0.143442,0.112611
red seal stamp,symbolic_cultural_motifs,221,223,230,contentment=0.428,disgust=0.407,contentment=0.480,0.159741,0.023758,0.154263,0.112587
reds,colors_color_schemes,64,64,59,contentment=0.606,contentment=0.752,amusement=0.323,0.040221,0.140896,0.156605,0.112574
courtly gathering,scenes_settings,24,24,26,excitement=0.263,contentment=0.404,contentment=0.279,0.152341,0.062625,0.122684,0.112550
hats,objects_subjects,280,289,274,contentment=0.420,contentment=0.693,amusement=0.454,0.058437,0.069141,0.210070,0.112549
summer meadow,scenes_settings,10,11,10,contentment=0.517,contentment=0.677,amusement=0.517,0.020703,0.126043,0.190749,0.112498
red shirt,objects_subjects,22,27,24,sadness=0.245,contentment=0.651,contentment=0.404,0.139556,0.110020,0.087912,0.112496
white ceramic vase,objects_subjects,10,10,10,contentment=0.586,contentment=0.586,awe=0.310,0.043138,0.159710,0.134615,0.112487
rose pink,colors_color_schemes,31,34,33,contentment=0.465,contentment=0.636,contentment=0.413,0.066223,0.139074,0.132089,0.112462
small birds,objects_subjects,20,21,24,contentment=0.510,contentment=0.255,contentment=0.649,0.170368,0.047595,0.119389,0.112450
sunburst pattern,symbolic_cultural_motifs,15,16,15,awe=0.231,contentment=0.415,awe=0.282,0.159392,0.060026,0.117908,0.112442
iron fence,objects_subjects,14,15,13,awe=0.351,contentment=0.538,amusement=0.371,0.026985,0.132814,0.177453,0.112417
snow patches,objects_subjects,25,26,23,contentment=0.288,fear=0.377,awe=0.382,0.085832,0.061772,0.189610,0.112405
crucified figures,objects_subjects,20,21,20,sadness=0.551,fear=0.373,sadness=0.714,0.133779,0.028530,0.174893,0.112401
central vertical composition,compositional_style,16,16,14,amusement=0.220,fear=0.268,awe=0.297,0.103088,0.081489,0.152591,0.112390
light-colored garment,objects_subjects,10,15,10,awe=0.310,contentment=0.641,awe=0.310,0.086027,0.068316,0.182824,0.112389
woodland,scenes_settings,204,215,202,contentment=0.458,contentment=0.554,amusement=0.293,0.053484,0.098149,0.185428,0.112354
sketchy details,compositional_style,38,41,39,contentment=0.318,contentment=0.407,amusement=0.241,0.116253,0.096115,0.124692,0.112353
necklaces,objects_subjects,18,20,19,awe=0.289,contentment=0.633,contentment=0.277,0.149195,0.050252,0.137395,0.112281
sail,objects_subjects,23,23,25,contentment=0.382,disgust=0.309,contentment=0.322,0.100704,0.083839,0.152205,0.112249
fine ink brushwork,compositional_style,12,12,12,contentment=0.273,disgust=0.455,fear=0.333,0.128293,0.028052,0.180400,0.112248
red seal mark,symbolic_cultural_motifs,26,27,26,contentment=0.443,contentment=0.492,contentment=0.443,0.107873,0.085462,0.143289,0.112208
detailed foliage brushwork,compositional_style,15,16,15,contentment=0.641,contentment=0.610,amusement=0.333,0.037585,0.160733,0.138303,0.112207
buckled shoes,objects_subjects,14,15,14,contentment=0.351,contentment=0.538,contentment=0.351,0.057683,0.121167,0.157668,0.112172
drinking glasses,objects_subjects,18,21,20,contentment=0.378,contentment=0.686,contentment=0.306,0.119927,0.079970,0.136559,0.112152
calligraphy inscriptions,objects_subjects,17,15,15,contentment=0.349,contentment=0.333,contentment=0.385,0.108697,0.066447,0.161252,0.112132
artists,objects_subjects,10,10,10,contentment=0.448,contentment=0.517,amusement=0.517,0.018967,0.120413,0.196921,0.112100
plein air painting style,compositional_style,10,10,10,contentment=0.448,contentment=0.517,amusement=0.517,0.018967,0.120413,0.196921,0.112100
pathways,objects_subjects,14,14,18,awe=0.351,contentment=0.459,awe=0.467,0.134700,0.037228,0.164340,0.112090
tapestry,objects_subjects,15,15,15,something else=0.333,contentment=0.590,contentment=0.385,0.170384,0.086614,0.079244,0.112081
loose brushstrokes,compositional_style,302,326,297,contentment=0.530,contentment=0.734,amusement=0.370,0.037297,0.111141,0.187766,0.112068
figures on horseback,objects_subjects,27,25,27,contentment=0.365,contentment=0.424,contentment=0.460,0.085894,0.102730,0.147496,0.112040
pale grey sky,colors_color_schemes,17,21,20,contentment=0.349,contentment=0.529,amusement=0.347,0.037914,0.141901,0.156131,0.111982
black coat,objects_subjects,14,15,14,something else=0.297,contentment=0.333,contentment=0.405,0.119366,0.129883,0.086535,0.111928
figures of people,objects_subjects,59,15,15,contentment=0.606,contentment=0.795,amusement=0.385,0.060605,0.113662,0.161504,0.111923
winged angels,objects_subjects,31,28,28,awe=0.606,fear=0.385,awe=0.231,0.179491,0.097347,0.058909,0.111916
cubist influence,compositional_style,35,35,34,contentment=0.443,contentment=0.291,awe=0.325,0.086757,0.147210,0.101720,0.111896
christian cross,symbolic_cultural_motifs,28,27,25,contentment=0.385,contentment=0.397,awe=0.525,0.054587,0.120311,0.160752,0.111883
house,objects_subjects,230,238,227,contentment=0.578,contentment=0.753,amusement=0.382,0.061780,0.085086,0.188782,0.111883
stone ruins,objects_subjects,29,31,28,awe=0.522,contentment=0.521,contentment=0.508,0.067859,0.157284,0.110483,0.111875
symmetrical layout,compositional_style,77,83,77,awe=0.448,contentment=0.474,awe=0.423,0.143814,0.043684,0.148039,0.111846
rustic kitchen,scenes_settings,10,10,10,contentment=0.241,contentment=0.517,amusement=0.241,0.091700,0.136189,0.107598,0.111829
draped robe,objects_subjects,10,11,11,contentment=0.310,disgust=0.290,awe=0.226,0.103875,0.081686,0.149918,0.111826
calligraphy inscription,objects_subjects,28,29,28,contentment=0.292,contentment=0.522,contentment=0.292,0.150717,0.104937,0.079804,0.111819
latin inscription,objects_subjects,26,25,25,awe=0.311,contentment=0.322,contentment=0.356,0.134883,0.063904,0.136590,0.111792
palace interior,scenes_settings,81,81,77,awe=0.392,contentment=0.673,awe=0.337,0.165037,0.041116,0.129202,0.111785
small animal,objects_subjects,23,23,23,contentment=0.273,contentment=0.418,something else=0.309,0.091095,0.099742,0.144488,0.111775
natural setting,scenes_settings,31,31,31,contentment=0.437,contentment=0.549,contentment=0.437,0.067938,0.079058,0.188261,0.111752
white blossoms,colors_color_schemes,47,41,46,awe=0.359,contentment=0.495,contentment=0.485,0.161062,0.044252,0.129868,0.111728
geometric floor pattern,symbolic_cultural_motifs,36,38,36,awe=0.259,contentment=0.624,contentment=0.284,0.152053,0.082276,0.100793,0.111707
claws,objects_subjects,39,39,37,amusement=0.333,fear=0.356,awe=0.277,0.044340,0.159351,0.131248,0.111646
soft edges,compositional_style,35,37,33,contentment=0.367,contentment=0.518,awe=0.280,0.037418,0.137562,0.159850,0.111610
white flowers,objects_subjects,226,181,174,contentment=0.544,contentment=0.790,contentment=0.367,0.049190,0.112232,0.173361,0.111594
whites,colors_color_schemes,151,163,151,contentment=0.505,contentment=0.648,amusement=0.376,0.037010,0.106134,0.191633,0.111593
faded background,compositional_style,15,11,11,contentment=0.538,contentment=0.484,amusement=0.355,0.085955,0.116323,0.132418,0.111565
monochromatic blue palette,colors_color_schemes,26,26,24,awe=0.279,contentment=0.475,contentment=0.368,0.140870,0.121917,0.071909,0.111565
river,objects_subjects,2016,2045,1955,contentment=0.557,contentment=0.655,contentment=0.349,0.069321,0.084299,0.181075,0.111565
heart motif,symbolic_cultural_motifs,10,10,10,amusement=0.241,contentment=0.655,amusement=0.379,0.122694,0.038596,0.173316,0.111535
hillside landscape,scenes_settings,55,57,54,contentment=0.613,contentment=0.740,amusement=0.350,0.046052,0.109718,0.178791,0.111520
riverbank village,scenes_settings,14,14,16,contentment=0.622,contentment=0.459,contentment=0.512,0.109771,0.076112,0.148646,0.111510
impressionistic lighting,compositional_style,13,16,11,contentment=0.543,contentment=0.610,amusement=0.226,0.023562,0.140284,0.170674,0.111507
study room,scenes_settings,32,32,30,awe=0.397,contentment=0.699,contentment=0.449,0.177034,0.072385,0.085095,0.111505
houses,objects_subjects,917,874,806,contentment=0.567,contentment=0.723,amusement=0.342,0.051059,0.089545,0.193874,0.111492
deciduous trees,objects_subjects,1057,1022,997,contentment=0.547,contentment=0.573,contentment=0.389,0.103178,0.052506,0.178766,0.111483
haystack,objects_subjects,125,135,126,contentment=0.660,contentment=0.606,contentment=0.349,0.020574,0.121418,0.192436,0.111476
waterfall,objects_subjects,292,286,282,contentment=0.319,contentment=0.456,contentment=0.361,0.148415,0.028908,0.157095,0.111473
large tree,objects_subjects,72,72,65,contentment=0.464,contentment=0.647,amusement=0.396,0.062449,0.078816,0.193136,0.111467
expressionist style,compositional_style,35,35,32,amusement=0.367,contentment=0.342,awe=0.315,0.049467,0.130438,0.154403,0.111436
heavenly realm,scenes_settings,20,21,20,awe=0.592,contentment=0.373,contentment=0.306,0.186115,0.107669,0.040434,0.111406
panoramic landscape,compositional_style,33,34,31,contentment=0.413,contentment=0.558,contentment=0.380,0.081632,0.101296,0.151275,0.111401
red-tiled roofs,objects_subjects,62,20,20,contentment=0.624,contentment=0.755,amusement=0.306,0.045974,0.140853,0.147263,0.111363
seal stamp,objects_subjects,130,128,140,contentment=0.487,disgust=0.389,contentment=0.557,0.174639,0.008012,0.151438,0.111363
religious figures,symbolic_cultural_motifs,10,10,10,fear=0.310,sadness=0.379,contentment=0.241,0.176975,0.124171,0.032822,0.111323
gazebo,objects_subjects,14,14,13,contentment=0.514,contentment=0.405,amusement=0.257,0.096220,0.125109,0.112566,0.111298
bay,scenes_settings,14,16,15,contentment=0.405,contentment=0.610,amusement=0.231,0.045430,0.136747,0.151477,0.111218
seated woman,objects_subjects,196,206,183,awe=0.342,contentment=0.696,contentment=0.413,0.175328,0.059789,0.098517,0.111211
red ink,colors_color_schemes,278,260,276,contentment=0.529,contentment=0.493,contentment=0.504,0.159556,0.012284,0.161702,0.111181
cows,objects_subjects,116,125,112,contentment=0.568,contentment=0.761,contentment=0.373,0.081066,0.099732,0.152659,0.111152
soft yellow,colors_color_schemes,170,191,169,contentment=0.479,contentment=0.708,contentment=0.378,0.048824,0.122471,0.162105,0.111133
royal court,scenes_settings,26,28,26,contentment=0.344,contentment=0.508,contentment=0.311,0.137108,0.024970,0.171168,0.111082
seal stamps,symbolic_cultural_motifs,15,15,19,contentment=0.487,contentment=0.436,contentment=0.660,0.152757,0.047847,0.132533,0.111045
figures in classical drapery,objects_subjects,10,10,10,awe=0.310,contentment=0.310,amusement=0.310,0.141488,0.065503,0.126110,0.111034
lamp,objects_subjects,18,13,13,sadness=0.422,contentment=0.314,contentment=0.429,0.124323,0.138513,0.070215,0.111017
flowing hair,objects_subjects,14,17,15,awe=0.351,contentment=0.395,contentment=0.538,0.121834,0.189188,0.021961,0.110994
blankets,objects_subjects,11,10,10,contentment=0.613,contentment=0.310,contentment=0.310,0.122081,0.080470,0.130415,0.110988
soldiers,objects_subjects,108,108,102,fear=0.351,fear=0.378,sadness=0.286,0.108843,0.088156,0.135949,0.110983
woman in pink dress,objects_subjects,10,10,10,awe=0.241,contentment=0.724,contentment=0.379,0.149927,0.083095,0.099877,0.110966
red flowers,objects_subjects,129,132,127,contentment=0.633,contentment=0.766,amusement=0.392,0.025731,0.108567,0.198578,0.110959
scholarly gathering,scenes_settings,23,21,21,contentment=0.527,contentment=0.373,contentment=0.725,0.134389,0.048062,0.150387,0.110946
monk,objects_subjects,40,40,44,fear=0.281,contentment=0.348,contentment=0.443,0.104624,0.076228,0.151942,0.110931
natural landscape,scenes_settings,124,120,124,contentment=0.479,contentment=0.606,contentment=0.300,0.109255,0.053548,0.169962,0.110921
horizontal layout,compositional_style,46,45,46,contentment=0.446,contentment=0.576,contentment=0.366,0.091782,0.103268,0.137708,0.110919
monochromatic ink,colors_color_schemes,23,21,25,contentment=0.345,contentment=0.333,contentment=0.661,0.092535,0.102791,0.137278,0.110868
red sash,objects_subjects,24,26,20,amusement=0.439,contentment=0.475,contentment=0.224,0.115746,0.086584,0.130270,0.110867
flower bud,objects_subjects,20,20,20,contentment=0.551,contentment=0.551,contentment=0.429,0.069001,0.131764,0.131764,0.110843
sewing fabric,objects_subjects,14,14,13,contentment=0.676,contentment=0.730,amusement=0.429,0.021733,0.147015,0.163749,0.110832
topknot,objects_subjects,14,13,13,amusement=0.514,amusement=0.257,contentment=0.371,0.083765,0.162151,0.086577,0.110831
steamship,objects_subjects,31,32,28,contentment=0.380,contentment=0.534,awe=0.323,0.110157,0.071980,0.150260,0.110799
lace trim,symbolic_cultural_motifs,27,26,25,awe=0.492,contentment=0.738,amusement=0.322,0.144362,0.063239,0.124763,0.110788
shoulder,objects_subjects,24,25,26,awe=0.298,contentment=0.492,contentment=0.377,0.160787,0.089929,0.081640,0.110785
wooden shed,objects_subjects,13,16,15,contentment=0.371,contentment=0.463,contentment=0.231,0.053636,0.098824,0.179838,0.110766
warm sunlight highlights,colors_color_schemes,10,10,10,awe=0.379,contentment=0.655,amusement=0.310,0.082396,0.084199,0.165589,0.110728
small houses,objects_subjects,49,53,48,contentment=0.383,contentment=0.652,contentment=0.276,0.089096,0.061134,0.181840,0.110690
hillsides,objects_subjects,10,10,10,contentment=0.517,contentment=0.310,awe=0.241,0.076220,0.108082,0.147731,0.110678
model,objects_subjects,10,10,10,contentment=0.241,contentment=0.241,excitement=0.310,0.056516,0.154592,0.120893,0.110667
sickle,objects_subjects,23,26,24,contentment=0.418,contentment=0.574,contentment=0.368,0.093270,0.099485,0.139241,0.110665
cartouche,objects_subjects,22,18,20,amusement=0.283,disgust=0.289,awe=0.388,0.120980,0.122624,0.088381,0.110662
golden chalice,objects_subjects,10,10,10,amusement=0.310,contentment=0.586,contentment=0.517,0.159710,0.111939,0.060290,0.110646
hill,objects_subjects,44,47,44,contentment=0.526,contentment=0.573,amusement=0.278,0.058426,0.123002,0.150475,0.110634
realistic drapery folds,compositional_style,14,15,15,sadness=0.297,sadness=0.333,contentment=0.282,0.119954,0.176992,0.034952,0.110633
gold leaf details,colors_color_schemes,12,12,12,awe=0.273,disgust=0.273,awe=0.394,0.122000,0.056012,0.153870,0.110628
warrior,objects_subjects,123,119,120,fear=0.373,fear=0.352,awe=0.293,0.100500,0.037652,0.193718,0.110623
quadratura,compositional_style,12,15,13,awe=0.697,contentment=0.487,awe=0.429,0.164709,0.094726,0.072423,0.110619
wine bottle,objects_subjects,32,37,34,contentment=0.562,contentment=0.759,amusement=0.481,0.043655,0.094923,0.193048,0.110542
white gown,objects_subjects,59,61,57,awe=0.339,contentment=0.542,contentment=0.317,0.133056,0.056457,0.142012,0.110508
brownish red,colors_color_schemes,10,11,10,something else=0.310,contentment=0.290,contentment=0.448,0.095659,0.144756,0.091079,0.110498
wooden structure,objects_subjects,28,27,24,awe=0.323,contentment=0.492,contentment=0.404,0.137737,0.088630,0.105045,0.110471
dynamic brushwork,compositional_style,20,21,20,awe=0.224,contentment=0.608,awe=0.347,0.154360,0.040346,0.136690,0.110465
cyrillic text,symbolic_cultural_motifs,27,27,24,contentment=0.365,contentment=0.714,amusement=0.263,0.091052,0.061322,0.178971,0.110449
people in historical attire,objects_subjects,21,23,18,awe=0.333,contentment=0.709,awe=0.289,0.122478,0.042166,0.166652,0.110432
stone house,objects_subjects,30,31,28,contentment=0.565,contentment=0.718,contentment=0.385,0.031130,0.146429,0.153716,0.110425
rocky hills,objects_subjects,103,101,104,contentment=0.349,contentment=0.346,contentment=0.364,0.110341,0.030520,0.190393,0.110418
traditional buildings,objects_subjects,14,14,12,contentment=0.514,disgust=0.459,contentment=0.576,0.159287,0.021641,0.150284,0.110404
coastal shore,scenes_settings,10,10,10,contentment=0.241,contentment=0.379,contentment=0.310,0.117712,0.106980,0.106438,0.110377
antlers,objects_subjects,11,11,13,awe=0.355,contentment=0.355,contentment=0.600,0.130893,0.076915,0.123258,0.110355
text at the bottom,compositional_style,14,16,15,amusement=0.514,contentment=0.268,awe=0.282,0.120709,0.090244,0.119985,0.110313
hanging lamp,objects_subjects,25,26,21,sadness=0.254,contentment=0.541,amusement=0.294,0.135846,0.073872,0.121172,0.110296
geometric shapes,compositional_style,37,35,35,contentment=0.446,contentment=0.570,contentment=0.392,0.121296,0.054218,0.155308,0.110274
platform,objects_subjects,12,12,12,awe=0.273,disgust=0.273,awe=0.273,0.148321,0.047736,0.134731,0.110262
aerial perspective,compositional_style,37,37,36,contentment=0.373,contentment=0.446,contentment=0.432,0.137720,0.020110,0.172915,0.110248
distant hills,objects_subjects,679,676,622,contentment=0.526,contentment=0.675,amusement=0.323,0.062064,0.081925,0.186677,0.110222
goblets,objects_subjects,11,10,10,awe=0.548,contentment=0.310,contentment=0.310,0.156138,0.094272,0.080224,0.110211
orange-brown,colors_color_schemes,23,25,22,amusement=0.309,contentment=0.559,amusement=0.283,0.150737,0.019847,0.159982,0.110189
thick impasto brushstrokes,compositional_style,60,64,58,contentment=0.535,contentment=0.737,contentment=0.296,0.061244,0.093424,0.175763,0.110144
attendant,objects_subjects,65,64,68,awe=0.266,contentment=0.343,contentment=0.421,0.161637,0.059817,0.108928,0.110128
harbor scene,scenes_settings,191,162,142,contentment=0.494,contentment=0.736,contentment=0.392,0.058735,0.098149,0.173443,0.110109
overhead perspective,compositional_style,40,38,36,contentment=0.438,contentment=0.529,amusement=0.333,0.069554,0.126716,0.133819,0.110030
thick brushstrokes,compositional_style,238,249,228,contentment=0.414,contentment=0.613,amusement=0.368,0.056416,0.086178,0.187493,0.110029
white cap,objects_subjects,39,41,40,contentment=0.264,contentment=0.560,contentment=0.393,0.094306,0.095694,0.140046,0.110016
coastal view,scenes_settings,83,43,40,contentment=0.554,contentment=0.537,contentment=0.303,0.071036,0.085592,0.173377,0.110001
star badge,symbolic_cultural_motifs,11,15,10,amusement=0.290,contentment=0.692,contentment=0.517,0.200408,0.091662,0.037914,0.109994
forest edge,scenes_settings,288,311,278,contentment=0.549,contentment=0.708,amusement=0.345,0.049059,0.093597,0.187264,0.109974
